,title,prd_company
1418,The Lost Treasure of the Grand Canyon,.
1419,My Big Fat Independent Movie,.
1420,A l'int챕rieur,.
1421,Open Road,.
1422,Alice in Wonderland,Walt Disney Productions
1423,Chicago Overcoat,.
1424,Never Back Down 2: The Beatdown,Mandalay Pictures
1425,30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo,.
1426,Point Blank,.
1427,Johny la Iguana,.
1428,Four Single Fathers,.
1429,Unnatural,.
1430,The Harvey Girls,Metro-Goldwyn-Mayer
1431,Cinderella,Walt Disney Productio
1432,Pocketful of Miracles,.
1433,Some Like It Hot,"Macario G泥쁬ez Quibus, Mirisch Company"
1434,The Omen,Mace Neufeld Productions
1435,Hustle & Flow,"Paramount Classics, MTV Films"
1436,Friday the 13th Part VII: The New Blood,Paramount Pictures
1437,The Wizard of Oz,Metro-Goldwyn-Mayer
1438,The Black Stallion,American Zoetrope
1439,Ulee's Gold,Motion Picture Corporation of America
1440,Sardaar Ji,White Hill Studios
1441,Donovan's Reef,.
1442,A Guy Named Joe,Metro-Goldwyn-Mayer
1443,Blazing Saddles,"John Alvin, Warner Bros."
1444,Riding Giants,StudioCanal
1445,C처mo se hizo: Los cronocr챠menes,.
1446,Timber Falls,.
1447,Singin' in the Rain,Metro-Goldwyn-Mayer
1448,Halloween II,Dino De Laurentiis Corporation
1449,Religulous,Thousand Words
1450,Hud,.
1451,My Own Private Idaho,.
1452,Sur le seuil,.
1453,My Life Without Me,.
1454,Fuel,.
1455,8: The Mormon Proposition,.
1456,Apokalypse 99 - Anatomie eines Amokl채ufers,.
1457,The Calling,.
1458,Christmas Mail,.
1459,Get on the Bus,"Columbia Pictures, 40 Acres and a Mule Filmworks"
1460,Idiocracy,.
1461,Nikt챕,Animex Producciones
1462,Bathing Beauty,.
1463,Show Boat,.
1464,"Dancer, Texas Pop. 81",.
1465,The Toxic Avenger Part II,.
1466,Eden,.
1467,The Brave Little Toaster,The_Brave_Little_Toaster
1468,Pinocchio,"Enrico Mazzanti, Walt Disney"
1469,The French Connection,.
1470,The Last Sin Eater,Believe Pictures
1471,"The Rebel, Louise Michel",.
1472,Impact Point,.
1473,The Valley of Decision,.
1474,Chicken Tikka Masala,.
1475,The Best Years of Our Lives,Samuel Goldwyn Productions
1476,Bully,"Blacklist Films, Gravity Entertainment, Muse Productions, FilmFour Distributors, StudioCanal"
1477,REC,Filmax International
1478,Infected,.
1479,The Timber,.
1480,Notorious,RKO Radio Pictures
1481,In the Heat of the Night,The Mirisch Corporation
1482,Sleeper,.
1483,Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,Brodsky/Gould Productions
1484,To Kill a Mockingbird,.
1485,Lolita,.
1486,Gentleman's Agreement,.
1487,The Hustler,.
1488,Witchboard,.
1489,Smoke Signals,.
1490,American Splendor,"Good Machine, Dark Horse Entertainment"
1491,Thirteen,Working Title Films
1492,Touching the Void: Return to Siula Grande,.
1493,Alexander's Ragtime Band,.
1494,Full Frontal,.
1495,Waltz with Bashir,.
1496,Shortbus,"Fortissimo Films, Q Television"
1497,"The Book of Mormon Movie, Volume 1: The Journey",.
1498,Hamlet,Miramax Films
1499,No End in Sight,.
1500,Get Real,Arts Council of England
1501,Inside Deep Throat,"Imagine Entertainment, HBO Documentary Films, World of Wonder"
1502,Subway,"Gaumont, TF1 Films Production"
1503,Building the 'House of D',.
1504,Teeth,.
1505,Sherrybaby,"Big Beach, Red Envelope Entertainment"
1506,Six-String Samurai,.
1507,Roadside Romeo,"Walt Disney Pictures India, Yash Raj Films, Disney World Cinema"
1508,This Thing of Ours,.
1509,Super Capers: The Origins of Ed and the Missing Bullion,.
1510,The Missing Person,.
1511,London,Destination Films
1512,Circle,.
1513,The Ghastly Love of Johnny X,.
1514,Grave Encounters,.
1515,Freeze Frame,Green Park Films
1516,Bananas,"Plantae, Angiosperms, Monocots, Commelinids, Zingiberales, Musaceae, Musa, Link to USDA Database entry"
1517,Nine Dead,.
1518,No Man's Land: The Rise of Reeker,.
1519,Rockaway,.
1520,Wings,.
1521,The Lady from Shanghai,.
1522,Straight A's,.
1523,Highway,.
1524,Lucky Dog,Universal Pictures
1525,Pendulum,Pendulum
1526,A Funny Thing Happened on the Way to the Forum,.
1527,True Bromance,.
1528,Wind Walkers,.
1529,Shark Lake,.
1530,The Marine 4: Moving Target,WWE Studios
1531,Taxi Driver,.
1532,Northfork,.
1533,Round the Square,.
1534,Vaalu,Vaa
1535,Carrie,.
1536,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Hawk Films
1537,A Streetcar Named Desire,New Directions
1538,Hang 'Em High,The Malpaso Company
1539,Deadline,"Enso Entertainment, KRU Studios, Films In Motion"
1540,Sublime,Raw Feed
1541,Independence Daysaster,.
1542,Bukas may umaga,.
1543,In the Bedroom,"Good Machine, Eastern Standard Film Company, GreeneStreet Films"
1544,Conquest of the Planet of the Apes,.
1545,"Happy, Texas",.
1546,Songs from Tsongas: Yes 35th Anniversary Concert,.
1547,You Can't Take It with You,Columbia Pictures
1548,Foolish,.
1549,She Wore a Yellow Ribbon,.
1550,Dil Jo Bhi Kahey...,.
1551,Mississippi Mermaid,.
1552,The King's Thief,.
1553,Cabin Fever,.
1554,Waitress,.
1555,Kickboxer,Kings Road Entertainment
1556,Bloodsport,The Cannon Group
1557,Mr. Smith Goes to Washington,Columbia Pictures
1558,Kids,Killer Films
1559,The Squid and the Whale,"Samuel Goldwyn Films, Sony Pictures Releasing International, Destination Films, American Empirical Pictures"
1560,Spellbound,"Selznick International Pictures, Vanguard Films"
1561,Exotica,.
1562,Buffalo '66,Cin챕pix Film Properties
1563,Repo Man,.
1564,Session 9,"USA Films, Scout Productions, October Films"
1565,The Making of 'Hatchet',.
1566,Modern Times,.
1567,Stolen Summer,.
1568,Forty Shades of Blue,.
1569,Wal-Mart: The High Cost of Low Price,.
1570,Closer to the Moon,Mandragora Movies
1571,Checkmate,.
1572,My Girlfriend's Boyfriend,.
1573,House at the End of the Drive,.
1574,San Francisco,Metro-Goldwyn-Mayer
1575,Bag om filmen 'Festen',.
1576,The Girlfriend Experience,.
1577,Def-Con 4,Salter Street Films
1578,Neal 'N' Nikki,.
1579,The Hebrew Hammer,.
1580,Simon Says,"Blue Cactus Pictures, Dark Moon Pictures, Simon Says Productions"
1581,Forget Me Not,.
1582,Rebecca,Selznick International Pictures
1583,The Lost Weekend,.
1584,C.H.U.D.,.
1585,Niagara,.
1586,Lake Bodom,.
1587,How Green Was My Valley,.
1588,Saw,.
1589,"Sex, Lies, and Videotape",.
1590,You Can Count on Me,.
1591,Strangers on a Train,Transatlantic Pictures
1592,The Trouble with Harry,.
1593,The Day the Earth Stood Still,20th Century Fox
1594,Reservoir Dogs,Live America Inc.
1595,The Wrong Man,Warner Bros.
1596,Q,.
1597,Extreme Movie,.
1598,The Charge of the Light Brigade,.
1599,Life Below Zero,.
1600,Crowsnest,.
1601,Airborne,.
1602,Cotton Comes to Harlem,Formosa Productions
1603,Bleeding Hearts,.
1604,The Wicked Within,.
1605,Waiting...,LIFT Productions
1606,Wolf Creek,"South Australian Film Corporation, Mushroom Pictures"
1607,Down by Law,.
1608,Sex with Strangers,.
1609,Silent Running,Universal Pictures
1610,The Dead Undead,.
1611,The Vatican Exorcisms,.
1612,Rocket Singh: Salesman of the Year,.
1613,Rocky,.
1614,Tom Jones,Woodfall Film Productions
1615,The Howling,.
1616,Cry Wolf,.
1617,Beyond the Valley of the Dolls,20th Century Fox
1618,Love Me Tender,.
1619,Sands of Iwo Jima,Republic Pictures
1620,Shine a Light,Shangri-La Entertainment
1621,An Inconvenient Sequel: Truth to Power,Participant Media
1622,Next Stop Wonderland,.
1623,Junebug,.
1624,Frozen River,Harwood Hunt Productions
1625,Sidewalks of New York,.
1626,The Broken Hearts Club: A Romantic Comedy,.
1627,Who Killed the Electric Car?,Electric Entertainment
1628,Walking and Talking,"Channel Four Films, Zenith Productions, Pandora Film, PolyGram Filmed Entertainment, Good Machine"
1629,No Man's Land,Fabrica
1630,Slam,Blowback Productions
1631,Brigham City,Main Street Movie Company
1632,Panic,.
1633,Fiza,.
1634,All the Real Girls,.
1635,Dream with the Fishes,.
1636,Luminarias,.
1637,The Battle of Shaker Heights,LivePlanet
1638,Guiana 1838,.
1639,Love Liza,.
1640,Once in a Lifetime: The Extraordinary Story of the New York Cosmos,.
1641,The House of the Devil,Glass Eye Pix
1642,Chocolate: Deep Dark Secrets,.
1643,Safe Men,.
1644,The Specials,.
1645,Jeff Dunham's Very Special Christmas Special,.
1646,The Helix... Loaded,.
1647,In Her Line of Fire,.
1648,Heli,.
1649,Karachi se Lahore,.
1650,Loving Annabelle,.
1651,Frat Party,.
1652,Jimmy and Judy,.
1653,The Proud Family Movie,.
1654,Snow White: A Deadly Summer,.
1655,Truth or Die,.
1656,Hidden Away,.
1657,Zombie Hunter,.
1658,A Fine Step,.
1659,The Pet Replacer,.
1660,Bang Bang Baby,.
1661,Top of the Pops: The Story of 1982,.
1662,The Horror Network Vol. 1,.
1663,Chemical Cut,.
1664,Alien Psychosis,.
1665,And Then Came Love,.
1666,Creating 'Hard Candy',.
1667,Charly,ABC Pictures
1668,A Costa Trance,.
1669,Off the Grid with Jesse Ventura,.
1670,On the Waterfront,.
1671,The Quiet,.
1672,40 Weeks,.
1673,Harrison Montgomery,.
1674,Time Changer,.
1675,Crying with Laughter,.
1676,Billy Jack,.
1677,Pandora's Box,.
1678,American Graffiti,"Lucasfilm, American Zoetrope"
1679,Iraq for Sale: The War Profiteers,.
1680,Interview with the Assassin,.
1681,Rise of the Undead,.
1682,Destiny,.
1683,Bled,.
1684,High Noon,.
1685,Hoop Dreams,Kartemquin Films
1686,Rize,.
1687,L.I.E.,"Alter Ego Entertainment, Belladonna Productions"
1688,Columbus,.
1689,King Kong,Radio Pictures
1690,House of Wax,.
1691,The Hadza: Last of the First,.
1692,Starsuckers,.
1693,Treachery,.
1694,Top Hat,RKO Radio Pictures
1695,The Blair Witch Project,Haxan Films
1696,Woodstock,.
1697,The Kentucky Fried Movie,KFM Films
1698,Mercy Streets,.
1699,Arnolds Park,.
1700,Drunk Wedding,.
1701,Crop Circles: Quest for Truth,.
1702,Light from the Darkroom,.
1703,Irreplaceable,France 2 Cin梨븁a
1704,Julija in alfa Romeo,.
1705,Mata Hari,Metro-Goldwyn-Mayer
1706,Benji,.
1707,Mad Hot Ballroom,Nickelodeon Movies
1708,The Station Agent,.
1709,Wordplay,.
1710,Beyond the Mat,"Imagine Entertainment, Lions Gate Films"
1711,The Singles Ward,.
1712,Sholem Aleichem: Laughing in the Darkness,.
1713,Targeted: Osama Bin Laden,.
1714,Groove,.
1715,The R.M.,.
1716,Twin Falls Idaho,.
1717,Mean Creek,Whitewater Films
1718,Flower,"Rough House Pictures, Diablo Entertainment"
1719,Never Again,.
1720,The Giant Rubber Monster Movie: Sascratch Versus Afrodesious,.
1721,Finishing the Game: The Search for a New Bruce Lee,.
1722,The Journey,.
1723,The Californians,.
1724,Higher Power,.
1725,Drones,"Khaos Digital, Whitewater Films"
1726,Girls Gone Dead,.
1727,Insomnia Manica,.
1728,America Is Still the Place,.
1729,Subconscious,.
1730,Roadside,.
1731,Diamond Ruff,.
1732,Fight to the Finish,.
1733,Bucky and the Squirrels,.
1734,Going Under,Warner Bros.
1735,Crossroads,.
1736,Rodeo Girl,.
1737,Sunday,.
1738,42nd Street,.
1739,Twenty-Two,.
1740,Napoleon Dynamite,"MTV Films, Napoleon Pictures"
1741,Quincea챰era,.
1742,Heroes,.
1743,Jackpot,.
1744,The Dark Hours,.
1745,Super Junior05 & TVXQ: Show Me Your Love,.
1746,Pancakes,.
1747,Intolerance: Love's Struggle Throughout the Ages,.
1748,The Broadway Melody,.
1749,Royal Kill,.
1750,Rotor DR1,.
1751,12 Angry Men,.
1752,Halloween,"Compass International Pictures, Falcon International Productions"
1753,It Happened One Night,.
1754,Tumbleweeds,.
1755,Tupac: Resurrection,"Amaru Entertainment, MTV Films"
1756,God's Army,Zion Films
1757,Pieces of April,.
1758,When the Cat's Away,.
1759,Wendy and Lucy,Glass Eye Pix
1760,Let's Talk About Sex,.
1761,Old Joy,.
1762,Death Race 2000,.
1763,Teeth and Blood,.
1764,Walking to Paris,.
1765,Anderson's Cross,Illumination Pictures
1766,Death Calls,.
1767,Graduation Day,.
1768,Chasing Amy,"View Askew Productions, Too Askew Prod., Inc."
1769,The Incredibly True Adventure of Two Girls in Love,"New Line Cinema, Smash Pictures"
1770,Chuck & Buck,.
1771,American Desi,.
1772,MTV Revue with Ice Cube,.
1773,November,.
1774,Sugar Town,.
1775,Happy Valley,"Asylum Entertainment, Passion Pictures"
1776,Shotgun Stories,.
1777,Along the Roadside,.
1778,Sunday School Musical,.
1779,Rust,.
1780,The Christmas Bunny,.
1781,Ink,Double Edge Films
1782,The Frozen,.
1783,Butterfly,Sociedad General de Televisi?n (Sogetel)
1784,A House Undivided,.
1785,Horse Camp,.
1786,Give Me Shelter,.
1787,The Love Letter,.
1788,Shooting the Warwicks,.
1789,The Big Parade,Metro-Goldwyn-Mayer
1790,Under the Little Big Top: Behind the Scenes Documentary,.
1791,Burn,"TBVE Films, Apost"
1792,Urbania,.
1793,"The Beast from 20,000 Fathoms",.
1794,The Stewardesses,.
1795,Swingers,.
1796,She Done Him Wrong,Paramount Pictures
1797,Trois,.
1798,Short Cut to Nirvana: Kumbh Mela,.
1799,Call + Response,.
1800,Baghead,Duplass Brothers Productions
1801,Malevolence,.
1802,Side Effects,.
1803,Good Dick,.
1804,Solitude,.
1805,The Man from Earth,.
1806,H.,.
1807,She's Gotta Have It,40 Acres & A Mule Filmworks
1808,Dolphin,.
1809,The Horse Boy,.
1810,The Calling,.
1811,Once,"Summit Entertainment, B처rd Scann찼n na h횋ireann/Irish Film Board, RT횋"
1812,Tadpole,.
1813,Dodge Law: Speak No Evil,.
1814,Roger & Me,Dog Eat Dog Films
1815,Cat People,.
1816,Romantic Schemer,.
1817,A Dog's Breakfast,.
1818,Une Femme Mari챕e,.
1819,Night of the Living Dead,.
1820,The Birth of a Nation,.
1821,The Work and the Story,.
1822,Facing the Giants,"Sherwood Pictures, Provident Films"
1823,Hollywood Shuffle,.
1824,Over the Hill to the Poorhouse,.
1825,The Mighty,"John Alvin, Scholastic, Inc."
1826,Keeping It Real: The Adventures of Greg Walloch,.
1827,Indie Game: The Movie,.
1828,"Dude, Where's My Dog?!",.
1829,Closure,.
1830,The Last House on the Left,.
1831,Queen Crab,.
1832,In absentia,.
1833,Pi,Protozoa Pictures
1834,Super Size Me,.
1835,Hayride,.
1836,The Brain That Wouldn't Die,Sterling Productions
1837,The Brothers McMullen,Good Machine
1838,Gabriela,.
1839,Big Things,.
1840,The Call of Cthulhu,.
1841,The Image Revolution,.
1842,A True Story,.
1843,George Washington,The Criterion Collection
1844,Raymond Did It,.
1845,Foreign Letters,Film Movement
1846,Her Cry: La Llorona Investigation,.
1847,Happy 40th,.
1848,Paraphobia,.
1849,Clerks,View Askew Productions
1850,Emily,.
1851,Deep Throat,.
1852,In the Company of Men,Alliance Atlantis
1853,Ten Thousand Saints,.
1854,Dutch Kills,.
1855,Dry Spell,.
1856,Steel Spirit,.
1857,Flywheel,Sherwood Pictures
1858,Stories of Our Lives,The Nest Collective
1859,Grip: A Criminal's Story,.
1860,Tin Can Man,.
1861,Clean,"BFI, arte France Cin梨븁a, Canal+, T梨뷿梨뷹ilm Canada"
1862,The Cure: Greatest Hits,.
1863,On the Downlow,Iconoclast Films
1864,Bang,.
1865,Primer,StudioCanal
1866,The Mongol King,.
1867,The Seeker: The Dark Is Rising,Walden Media
1868,Transporter 2,"EuropaCorp, TF1 Films Production, Canal+, TPS Star"
1869,Everyone's Hero,IDT Entertainment
1870,Fierce People,.
1871,Wristcutters: A Love Story,.
1872,Ghajini,"Geetha Arts, "
1873,Solitary Man,.
1874,Sex and Death 101,.
1875,Flashbacks of a Fool,"Left Turn Films, Ugly Duckling Films, Visitor Pictures"
1876,City Island,"CineSon Entertainment, Medici Entertainment, NovaStar Digital"
1877,Brad's Status,"Sidney Kimmel Entertainment, Plan B Entertainment"
1878,The Boondock Saints II: All Saints Day,Stage 6 Films
1879,Premam,Anwar Rasheed Entertainments
1880,The Invisible,"Mats Wahl, Hollywood Pictures, Spyglass Entertainment"
1881,Primeval,"Hollywood Pictures, Pariah Films"
1882,The Santa Clause 3: The Escape Clause,Walt Disney Pictures
1883,Redline,.
1884,Intruders,Campbell-Grobman Films
1885,Jai Ho,.
1886,Andhadhun,Viacom 18 Motion Pictures
1887,De Dana Dan,.
1888,Heyy Babyy,"Nadiadwala Grandson Entertainment, T-Series"
1889,Incredible Love,.
1890,Shubh Mangal Savdhan,"Colour Yellow Productions, Y NOT Studios"
1891,Bhoothnath,.
1892,Agent Vinod,.
1893,Omkara,Shemaroo Entertainment
1894,Husband Material,.
1895,M.S. Dhoni: The Untold Story,"Fox Star Studios, Friday FilmWorks"
1896,Baaghi 2,"Nadiadwala Grandson Entertainment, Fox Star Studios"
1897,Ae Dil Hai Mushkil,Dharma Productions
1898,Aqua Teen Hunger Force Colon Movie Film for Theaters,"Adult Swim, Williams Street"
1899,Leaves of Grass,First Look Studios
1900,The Ice Harvest,.
1901,Hollywoodland,"Focus Features, Miramax Films"
1902,Greenberg,.
1903,Jane Eyre,.
1904,Thoroughbreds,"June Pictures, B Story, Big Indie Pictures"
1905,The Namesake,"Mirabai Films, UTV Motion Pictures"
1906,The Ringer,Conundrum Entertainment
1907,Water,.
1908,Sunshine,.
1909,Trust the Man,.
1910,The Little Hours,.
1911,The Secret of Kells,"Les Armateurs, Cartoon Saloon, France 2 Cin梨븁a, Canal+, Cin梨뷖in梨븁a Classic, Bord Scann李펝 na h?땓reann, Broadcasting Commission of Ireland, Belgacom TV"
1912,Management,"Image Entertainment, SKE, Echo Films, Temple Hill Entertainment"
1913,2 Days in Paris,.
1914,Bharat Ane Nenu,DVV Entertainments
1915,In Search of a Midnight Kiss,.
1916,Black '47,"Irish Film Board, BAI"
1917,Bug,.
1918,Delta Farce,Lionsgate
1919,Last Flag Flying,Amazon Studios
1920,Hard Candy,Vulcan Productions
1921,Happily N'Ever After,"Vanguard Animation, Odyssey Entertainment, Nitrogen Studios"
1922,Battle for Haditha,.
1923,Happy Endings,.
1924,In the Mix,Ush Entertainment
1925,Factory Girl,.
1926,Two Lovers,.
1927,The Lost City,.
1928,Marrowbone,"Lions Gate International, Telecinco Cinema"
1929,Serious Moonlight,.
1930,The Hoax,"Miramax Films, Bob Yari Productions, The Mark Gordon Company"
1931,The Lookout,"Miramax Films, Spyglass Entertainment"
1932,Running Scared,.
1933,The Last Mimzy,.
1934,Mr. Woodcock,.
1935,Sunshine Cleaning,Big Beach
1936,JCVD,"Gaumont Film Company, RTBF"
1937,Uri: The Surgical Strike,RSVP Movies
1938,The Ottoman Lieutenant,.
1939,Black Snake Moan,.
1940,Margot at the Wedding,.
1941,Bad News Bears,.
1942,Nobody's Fool,.
1943,Mongol: The Rise of Genghis Khan,.
1944,The Notorious Bettie Page,"HBO Films, Killer Films, John Wells Productions"
1945,Bella,Metanoia Films
1946,The Only Living Boy in New York,Amazon Studios
1947,The Joneses,.
1948,The Good Guy,.
1949,I Can't Think Straight,Enlightenment Productions
1950,Golmaal Again,.
1951,Bhaag Milkha Bhaag,.
1952,Simmba,"Reliance Entertainment, Dharma Productions"
1953,Waist Deep,Intrepid Pictures
1954,Vacancy,.
1955,Priest,.
1956,Get Low,TVN
1957,Breakfast on Pluto,"Path챕 Pictures, Bord Scann찼n na h횋ireann/The Irish Film Board, Northern Ireland Film & Television Commission, Number 9 Films"
1958,Coco Chanel & Igor Stravinsky,.
1959,Three Burials,EuropaCorp
1960,The Last Station.,.
1961,Art School Confidential,"Art School Confidential, United Artists, Mr. Mudd Productions"
1962,Saving Face,Destination Films
1963,The Informers,.
1964,Lords of Dogtown,"Columbia Pictures, TriStar Pictures, Senator International"
1965,Man of the House,"Walt Disney Pictures, Orr & Cruickshank Productions"
1966,I Know Who Killed Me,.
1967,Singh Is King,.
1968,P2,.
1969,Goat,"Great Point Media, Killer Films, Rabbit Bandini Productions"
1970,The Promotion,.
1971,Before the Devil Knows You're Dead,Capitol Films
1972,Loverboy,.
1973,Strangers with Candy,"Comedy Central Films, Worldwide Pants"
1974,Jagga Jasoos,"Walt Disney Pictures India, Picture Shuru Entertainment, Ishana Movies"
1975,Himmatwala,"UTV Motion Pictures, Pooja Entertainment"
1976,Jodhaa Akbar,.
1977,Loving Pablo,.
1978,The Good Shepherd,"Morgan Creek Productions, TriBeCa Productions, American Zoetrope"
1979,Kicking and Screaming,The Criterion Collection
1980,The Producers,.
1981,Prime,Relativity Media
1982,Alpha Dog,Sidney Kimmel Entertainment
1983,Two for the Money,Morgan Creek Productions
1984,Gully Boy,"Excel Entertainment, Tiger Baby Films"
1985,The Astronaut Farmer,.
1986,Project X,.
1987,V for Vendetta,"Silver Pictures, Virtual Studios, Anarchos Productions Inc., DC, Vertigo Comics, Medienboard Berlin-Brandenburg"
1988,Better Watch Out,.
1989,Transamerica,.
1990,I'm Not There,"Endgame Entertainment, Killer Films, John Goldwyn Productions, John Wells Productions"
1991,No Escape,Pacific Western
1992,First Snow,.
1993,Black,SLB Films
1994,Rab Ne Bana Di Jodi,Yash Raj Films
1995,Race 3,"Salman Khan Films, Tips Films"
1996,Jab Harry Met Sejal,Red Chillies Entertainment
1997,Thugs of Hindostan,Yash Raj Films
