prd_company,num_movies,com_dom_bo,com_wrld_bo,com_dom_power,com_wrld_power
Warner Bros.,240,18794567812,43565575875,3.88412894641552,9.00336288740349
Columbia Pictures,234,18125160061,40846061401,3.74578758902852,8.44134172286705
Universal Pictures,239,17582725036,42395375983,3.63368670949636,8.7615266654124
Walt Disney Pictures,126,15746091331,38264201563,3.25412373103839,7.90776858446476
Marvel Studios,61,12978459542,33726541326,2.68215853065687,6.97000520241576
Paramount Pictures,143,12046260016,28562774128,2.48950801594487,5.90284910460451
20th Century Fox,105,9991847626,25080590608,2.06493838967345,5.18321298729367
Relativity Media,116,7262861915,15176714944,1.50095987734599,3.13645508719013
DreamWorks Pictures,82,6698128458,13353758516,1.38425075217299,2.75971868649843
Legendary Pictures,60,6310074576,16262572703,1.3040546374806,3.36086096848573
Dune Entertainment,70,6307177998,16498964652,1.30345602395738,3.40971427657959
New Line Cinema,106,6175853720,14124239821,1.27631624428012,2.91894813882517
Disney-Pixar,24,6013201814,14408668663,1.24270222438865,2.97772886256718
Amblin Entertainment,63,5955058398,14584849735,1.23068617127223,3.01413885126236
Regency Enterprises,144,5946181275,12940317968,1.2288516044575,2.67427610456881
DreamWorks Animation,45,5658598565,15207820818,1.16941909504452,3.14288349920873
Lucasfilm,23,5657196560,11627844246,1.16912935344162,2.40303724310507
Village Roadshow Productions,77,5635843271,13410480466,1.16471643324384,2.77144097615659
Lionsgate,160,5060237359,9731795306,1.04576038132018,2.0111953744683
Metro-Goldwyn-Mayer Pictures,94,5043904211,12168318327,1.04238493509724,2.51473286940508
Touchstone Pictures,65,4308703316,8280684053,0.890446614074667,1.71130535951154
RatPac Entertainment,46,3963515749,10006907270,0.819109351396491,2.06805065060801
Walt Disney Animation Studios,23,3760542473,10196517291,0.777162423723218,2.10723589702939
Heyday Films,25,3516213744,11024384106,0.726668882278551,2.27832477186189
Summit Entertainment,71,3360966881,8459459104,0.694585205736998,1.74825142591923
Jerry Bruckheimer,21,3100355178,7379881917,0.640726587144521,1.52514350219037
Bad Robot,20,3053464843,7137287554,0.631036121830159,1.47500838884321
di Bonaventura Pictures,31,2741315020,7607033196,0.5665265159025,1.57208711200384
Fox 2000 Pictures,50,2656928451,5740837222,0.549086991960251,1.18641472651437
Illumination Entertainment,12,2610573965,6720546862,0.539507266442229,1.38888379150541
Imagine Entertainment,52,2608296276,5306355476,0.539036553954221,1.0966237218364
TSG Entertainment,44,2512954785,6950270036,0.519333060439937,1.43635891510076
Original Film,34,2490233612,7259811012,0.514637450164213,1.50032937066057
1492 Pictures,22,2473204496,6163030266,0.511118173581261,1.27366611955405
The Kennedy/Marshall Company,30,2445568419,5831950961,0.505406837853044,1.20524450300118
Working Title Films,95,2428184266,7757877817,0.501814188500762,1.60326101101007
Blumhouse,101,2364384903,4479478035,0.48862926426787,0.925739313327925
Happy Madison,35,2338633161,3907145972,0.483307349578298,0.807459842626787
Spyglass Entertainment,30,2311618021,4392491384,0.477724338129721,0.907762450413039
Perfect World Pictures,35,2286266774,5976885742,0.472485190665124,1.23519706077508
Twentieth Century Fox,42,2201798396,5694313297,0.455028759885317,1.17679998433988
Scott Rudin Productions,43,2135382420,3737293531,0.441303080345012,0.772357743482681
Temple Hill Entertainment,32,2079270207,5039635391,0.429706800348535,1.04150273086169
Skydance Productions,26,2045149516,5912612916,0.422655339260923,1.22191428958121
Wingnut Films,12,2026409907,6308739568,0.41878256822998,1.30377874163301
Silver Pictures,34,2019545469,4464395953,0.417363947562382,0.922622415304284
Syncopy,7,1945132877,4783164222,0.401985668824817,0.988499804622656
PDI,9,1938568463,4842419002,0.40062905181246,1.00074553479925
Tri-Star Pictures,48,1926572052,3735131772,0.398149845709702,0.771910989357177
New Regency,61,1913138282,4449958780,0.395373591664469,0.919638795669364
Eon Productions,25,1907784162,6355644336,0.394267096815393,1.31347218970461
Chernin Entertainment,23,1893920161,4629561720,0.391401930234502,0.956755955536692
Castle Rock Entertainment,52,1863515133,3090732456,0.385118356674701,0.638737933112283
Donnersâ€™ Company,15,1797626246,4551841242,0.371501606568832,0.940694061411289
Color Force,12,1780595298,3471298525,0.367981951380514,0.717386599014708
Revolution Studios,35,1764350680,3128746630,0.364624800972566,0.64659403042106
Hasbro Studios,14,1755071351,4913495236,0.36270711333363,1.01543431405947
Sony Pictures Animation,23,1752216821,4878307872,0.362117189547549,1.00816241185732
Screen Gems,51,1728355172,3359100865,0.35718588585825,0.694199570545352
Walden Media,34,1726270472,4133489638,0.356755056924295,0.85423654926577
Overbrook Entertainment,21,1712188850,3843172158,0.353844916283138,0.794238865945889
Fairview Entertainment,6,1670469187,4048363213,0.345223034028972,0.83664412496771
Atlas Entertainment,17,1668697466,4473519540,0.344856886060585,0.924507916940518
Chris Meledandri,7,1642848674,3713732726,0.33951491479307,0.767488612911723
Sunswept Entertainment,15,1632914506,3926522745,0.337461896608596,0.8114642914468
Scott Free Films,46,1618885942,4149223476,0.334562721056698,0.857488140695023
Participant Media,88,1600372784,3193365351,0.330736748914287,0.659948285077354
Mandeville Films,25,1599408407,3213497058,0.330537448528217,0.664108750307607
Ingenious Media,55,1595869296,4411211872,0.329806047645942,0.911631269853803
Zancuk Company,12,1587742375,3834857681,0.328126519315358,0.792520576857625
Davis Entertainment,41,1554093343,3735103647,0.321172532369906,0.771905176979489
Blue Sky Studios,15,1544310788,5037974794,0.319150846879424,1.04115954803671
Vertigo Entertainment,30,1530455862,2991790269,0.316287555759067,0.618290311416881
Ingenious Film Partners,16,1509413779,5050005693,0.311938950114568,1.04364588150948
LStar Capital,24,1505003967,3697999660,0.311027608145506,0.76423718102578
Brian Grazer Productions,18,1483055356,3438965595,0.306491657323361,0.710704600759061
Cruel and Unusual Films,6,1449982257,3918146586,0.299656694026596,0.809733255013448
Roth Films,11,1419041127,3910858138,0.293262328384888,0.808227007456472
Fox Searchlight Pictures,77,1351768922,3130485255,0.279359698574861,0.646953338693376
Kinberg Genre,10,1309850196,3702252576,0.270696677499723,0.765116098503825
Focus Features,63,1288181845,2884483796,0.266218645858769,0.596114106989826
Weinstein Company,41,1270411701,3080123244,0.262546226711769,0.63654540877014
Laura Ziskin Productions,5,1255649324,2720363069,0.259495399664446,0.562196537146031
Canal Plus,203,1246516867,4577060143,0.257608064933453,0.945905857944771
GK Films,17,1239325149,3469165646,0.256121807822479,0.716945813296943
Plan B Entertainment,31,1236011273,2950728813,0.255436954527358,0.609804455746939
Centropolis Entertainment,14,1229431531,3609383037,0.254077169794994,0.745923464319396
Malpaso Productions,17,1205270883,2033620503,0.249084074279329,0.420272726712189
One Race Films,11,1141774168,4747567486,0.2359616959836,0.98114330065414
The Safran Company,21,1140105358,3405508317,0.235616815841002,0.7037902421397
Gary Sanchez Productions,21,1108845084,1673245658,0.229156495160536,0.345796825961186
Alcon Entertainment,27,1108369331,1971505743,0.229058174942847,0.40743594643988
Cruise-Wagner,7,1107923624,3031872684,0.228966064101159,0.626573836204524
Judd Apatow,12,1086897505,1466591714,0.224620757613902,0.303089242907915
United Artists,24,1075236299,2908791381,0.222210825753389,0.601137568846484
Lakeshore Entertainment,40,1072009577,2175013614,0.221543983905915,0.449493354754947
Parkes+Macdonald Productions,17,1070293747,2714944995,0.221189386501133,0.561076825415081
Dentsu Inc.,15,1062434079,4013780054,0.219565089294973,0.829497089171301
Bad Hat Harry Productions,8,1041487477,2735381962,0.215236215975242,0.565300376384471
21 Laps Entertainment,29,1037686605,2301356684,0.214450718957993,0.475603706441389
Mosaic Media,16,1014350243,1718249969,0.209627972297633,0.355097521184248
Escape Artists,22,1009887490,1954606972,0.208705689418803,0.403943607256745
Platinum Dunes,16,1008125530,1895359344,0.208341558681301,0.391699355129046
ImageMovers,13,1007026636,1954852025,0.208114458700224,0.403994250477713
Millennium Films,47,1004847388,2541286974,0.207664090257444,0.525188256287534
Tencent Pictures,11,998413291,2928358030,0.206334404858358,0.605181257880756
Blinding Edge Pictures,9,986141569,2180968377,0.20379830234622,0.450723979878584
Marc Platt Productions,26,974437094,2173520575,0.201379428413877,0.449184799854614
Lightstorm Entertainment,7,968579680,3241940864,0.200168921660218,0.669987013183133
Tribeca Film,34,967941549,2433254553,0.200037044028686,0.502862025764184
Matt Tolmach Productions,7,949217093,2646752284,0.196167404551845,0.546983961701528
Thunder Road Film,24,948759982,2228376276,0.196072936933085,0.460521406168806
Bluegrass Films,16,947131337,2111838570,0.195736357382482,0.436437453733653
Pascal Pictures,11,944268258,2640995329,0.195144666840246,0.545794216037654
Nickelodeon Films,18,928527878,1777623227,0.19189172342611,0.367367736298935
Weed Road Pictures,16,906715071,2289707152,0.187383838173373,0.473196187156774
20th Century Fox Animation,11,902509153,2649597016,0.186514633410941,0.547571860610219
Gold Circle Films,38,897525993,1491010993,0.185484802015283,0.308135787705499
MRC,7,897461999,2600743315,0.185471576866917,0.537475641527572
Reliance Entertainment,28,881190791,1989123210,0.182108931307938,0.411076813004182
Playtone,16,875269950,2080480497,0.180885316583446,0.429956921685167
StudioCanal,109,871833790,3737174168,0.180175191793452,0.77233307564844
Lin Pictures,5,867646434,1707311714,0.179309823096963,0.352836996053064
Everyman Pictures,8,838616955,1444592839,0.173310523681774,0.298542904411026
Annapurna Pictures,33,832435590,1361127508,0.172033068463595,0.28129376564912
Imprint Entertainment,9,821378602,1827559077,0.169748005695429,0.377687594802147
EuropaCorp,31,816941893,2384179311,0.168831105130005,0.492720022504985
De Line Pictures,12,806456341,1713385180,0.166664136650084,0.354092152613813
Hollywood Pictures,15,804897397,1666392590,0.166341961669696,0.344380555044142
Green Hat Films,5,799257788,1728995694,0.165176467002169,0.357318257619383
Jersey Films,21,782151943,1265606455,0.161641333426233,0.261553163435724
Don Simpson,6,778638973,1438856298,0.160915334903608,0.297357377551708
Seven Bucks Productions,10,770872787,2499506813,0.159310356904242,0.516553871376465
MTV Films,18,768710310,1166035559,0.158863454395194,0.240975611281149
Michael De Luca,15,768277345,2205561065,0.15877397684476,0.455806361782039
Mandate Pictures,20,765916964,1203285029,0.158286175036366,0.248673673088841
Jerry Bruckheimer Films,8,765130896,2059041531,0.158123724401524,0.425526295279985
Bron Creative,17,761793827,1704445226,0.157434077987265,0.352244600998987
Icon Productions,11,752171349,1306901318,0.155445474380633,0.27008725553728
Mace Neufeld,9,748460578,1420638155,0.154678597844881,0.293592373892989
Miramax Films,38,747438293,1602076334,0.15446733005731,0.331088808505806
Appian Way,21,730273929,1896756370,0.150920102809198,0.391988067760258
Big Screen Prods,11,726109547,2285877791,0.150059481972799,0.472404802536752
Gil Netter Productions,10,713631673,1477675966,0.147480775610518,0.305379940117514
Red Hour Productions,21,703899231,1191352215,0.145469446588769,0.246207610089509
Benderspink Productions,14,685402199,1182032324,0.141646807082895,0.244281539813638
Point Grey,12,683613796,1041048769,0.141277211573722,0.215145551563117
Warner Animation Group,15,682301274,1354499072,0.141005962735015,0.279923917701851
Alphaville,7,678508753,1685520591,0.140222191554782,0.348333592066027
Dimension Films,25,676013253,1286063958,0.139706465740667,0.265780958422472
Rideback,6,672958952,1711622208,0.139075256816693,0.353727812734045
Will Packer Productions,16,664565659,801293202,0.137340679431187,0.165597110377128
Bagdasarian Company,4,655935962,1404694725,0.1355572462471,0.29029746769522
Don Murphy,2,647550946,1940573771,0.133824379405599,0.401043473411679
Tom DeSanto,2,647550946,1940573771,0.133824379405599,0.401043473411679
NPV Entertainment,5,641119275,1530143484,0.132495195369296,0.316222998997551
Tom Cruise Productions,5,639730779,1968654503,0.132208245567655,0.406846702572825
Fuji Television Network,18,634652116,1941497752,0.131158677300659,0.401234425466759
Mad Chance,12,632323793,1190477651,0.13067750067285,0.246026870666189
BBC Films,151,630155438,1753443753,0.130229383402698,0.362370750158475
DMG Entertainment,9,624771531,1754301084,0.129116732703161,0.362547928170072
A Band Apart,9,607790772,1485237887,0.125607449689912,0.30694270423853
Atomic Monster,16,602441306,1736194167,0.124501916647264,0.358805910734314
Troublemaker Studios,11,600283124,1371465183,0.124055901752871,0.283430173525469
Lawrence Gordon,9,596369735,1142909474,0.123247151711607,0.236196320952992
Joint Effort,5,593678548,1593594646,0.122690984768505,0.329335963204717
Red Wagon Entertainment,8,592747124,1213097997,0.122498494525794,0.250701643800394
Cube Vision,8,590237799,687520633,0.121979911605135,0.142084607563479
Reliance BIG Entertainment,14,584336381,1168625825,0.120760310882843,0.241510921656474
Media Rights Capital,13,580236863,1457114591,0.119913094991026,0.301130678702489
Gracie Films,7,574925763,1145275610,0.118815490754863,0.236685312103025
Team Todd,9,570179906,991325568,0.11783470094721,0.204869639595126
Closest to the Hole,11,567778053,858583611,0.117338328439172,0.177436879089809
Tyler Perry Studios,11,566109847,594121779,0.116993573120614,0.122782583914294
DC Films,3,564086102,1802839849,0.116575341288241,0.372579061848995
Mutual Film Company,5,560484182,1192779027,0.115830960152446,0.24650247836452
FilmNation Entertainment,54,554658056,1247406791,0.114626919449387,0.257791978689975
Jerry Weintraub,6,549401626,1219383152,0.113540613442139,0.25200054850054
Broken Road,12,548166999,1115171321,0.113285462564678,0.230463889962022
Nu Image,18,535583036,1521635080,0.110684831603762,0.314464632505979
Robert Simonds Company,7,533966250,818504289,0.110350702861586,0.169153993508715
Good Universe,15,532850614,865972183,0.110120142939985,0.178963818504694
Morgan Creek Productions,10,531118944,938175174,0.109762272004089,0.193885455978146
Di Novi Pictures,12,530457978,830125497,0.10962567523853,0.17155565928984
Entertainment One,58,526798834,1075792472,0.10886946805826,0.222325765754677
Phoenix Pictures,17,526092393,1479968171,0.108723473323799,0.305853652515728
Saturn Films,11,524753235,1177010808,0.108446719827594,0.243243781678118
UK Film Council,71,524112124,1717568179,0.108314226342356,0.354956620882583
Maverick Films,3,522364166,1137610548,0.107952989290627,0.235101232623886
Cross Creek Pictures,22,521931372,1443848233,0.107863547079449,0.298389022409205
Sony Pictures,21,517049935,1011858602,0.106854737994747,0.209113043993402
Laurence Mark,7,510849614,973707076,0.105573365285671,0.201228561201948
MARV Films,14,508975133,1446324011,0.105185980697505,0.298900672429088
The Mark Gordon Company,13,503601298,1428223025,0.104075411500834,0.295159880707537
Montecito Picture Company,15,494456516,900314516,0.102185529656774,0.186061084641752
Rogue Pictures,17,489302777,961548424,0.101120446009605,0.198715825998086
Valhalla Motion Pictures,5,487720737,1093526058,0.100793497956324,0.225990629740662
Newmarket Films,4,478862407,795497576,0.098962814946527,0.164399372874761
Image Nation Abu Dhabi,16,475587858,909473247,0.098286089060378,0.187953849218483
CBS Films,20,474207071,820511042,0.098000732418545,0.169568713734983
Image Nation,11,473309751,1380111234,0.097815290187521,0.285216986465102
Lord Miller,4,472245852,876699376,0.097595422354257,0.181180725073755
Beacon Pictures,10,470664253,866434673,0.097268565439058,0.179059397760062
Smart Entertainment,4,467780755,909231281,0.096672655058955,0.18790384396409
Constantin Film,23,467715018,1820998105,0.096659069698168,0.376331689121488
David Brown,4,465896331,788887301,0.096283215627363,0.163033278121847
3 Arts Entertainment,13,462329651,884645415,0.095546117271648,0.182822871910967
Wigram Productions,4,459047991,1251494357,0.094867921809757,0.258636724553769
Wendy Fineman Productions,2,454891598,1005923792,0.094008951998614,0.207886542402993
Dreamworks LLC,3,453238496,924463558,0.093667318107705,0.191051781634556
Stage 6 Films,26,452431060,845491616,0.093500451512455,0.174731257058247
Hemisphere Media Capital,3,452398349,1534275658,0.093493691381377,0.317076963654019
Hartbeat Productions,12,451155968,1068224850,0.093236938044304,0.220761823451786
M6 Films,13,444035404,1244523069,0.091765385783893,0.257196022017512
Cine Plus,97,439929082,1660943149,0.090916763761666,0.343254360936269
Leverage,12,438052286,663026102,0.090528900750234,0.137022511013154
Jon Peters,3,434308866,844086176,0.089755276896468,0.174440805570293
STX Entertainment,15,433669642,727330888,0.089623173383023,0.150311887134705
Mark Johnson,2,433332447,1137880860,0.089553487882766,0.23515709592834
Animal Logic,9,428191278,994586515,0.088491001980932,0.205543554460428
Birnbaum/Barber,5,425522703,916754397,0.087939508086161,0.189458588553864
Anonymous Content,36,425305807,1087134808,0.087894683856076,0.224669799201908
Open Road Films,21,422062115,737406191,0.087224334949068,0.152394072605404
Monkeypaw Pictures,5,420992438,625676761,0.087003273020931,0.12930380963312
Grive Productions,6,414232430,894192917,0.085606234099183,0.184795980803659
Tapestry Films,7,414226042,571169500,0.085604913940297,0.118039212736949
Wanda Pictures,1,412563408,821133378,0.085261310144174,0.169697327135205
Eddie Murphy Production,3,405499640,724280938,0.083801495476765,0.149681577398476
Waverly Films,5,403485573,930942894,0.083385263722304,0.192390816230238
Solana Films,6,401360355,890417130,0.082946061244556,0.184015667910652
Rainforest Films,5,400393818,462105405,0.082746314467879,0.095499774073526
2.0 Entertainment,4,393034174,913342963,0.081225353380524,0.188753573696341
Junction Entertainment,2,392966503,788649214,0.081211368334815,0.162984074510585
Tig Productions,4,387510797,934023590,0.080083879487521,0.19302748000609
Contrafilm,9,381207362,897101065,0.078781197000206,0.185396985409897
STX Films,13,379538664,535508047,0.078436340003788,0.110669334203211
Radar Pictures,19,378549701,1047010999,0.078231958617971,0.216377719834281
87Eleven Inc.,6,374798711,713149928,0.077456770330459,0.147381217072221
Trigger Street Productions,8,374332570,996333807,0.077360436550969,0.205904653875053
Radiant Productions,3,374137787,900293475,0.077320182244718,0.186056736259923
Brownstone,7,371996159,659963961,0.076877588438334,0.136389681856609
Ghost House Pictures,7,371562061,669355295,0.076787876739494,0.138330516708452
Tim Burton,7,370227774,1092194480,0.076512129895439,0.225715442744826
HBO Films,12,369323308,872509908,0.076325210855492,0.180314919906451
Pariah Productions,12,369182502,772511520,0.076296111561169,0.159649021264307
TF1 Film Productions,29,368616343,1784359327,0.076179107829975,0.368759834337988
